2019-05-14T03:48:48.145999,1557823728,127.0.0.1,63197,b'+|200|100',b'0|300.0',1
2019-05-14T03:48:48.150986,1557823728,127.0.0.1,63195,b'+|200|100',b'0|300.0',2
2019-05-14T03:48:48.175961,1557823728,127.0.0.1,63198,b'+|200|100',b'0|300.0',3
2019-05-14T03:48:48.189947,1557823728,127.0.0.1,63190,b'+|200|100',b'0|300.0',4
2019-05-14T03:48:48.290899,1557823728,127.0.0.1,63392,b'+|200|100',b'0|300.0',5
2019-05-14T03:48:48.330892,1557823728,127.0.0.1,63189,b'+|200|100',b'0|300.0',6
2019-05-14T03:48:48.336904,1557823728,127.0.0.1,63193,b'+|200|100',b'0|300.0',7
2019-05-14T03:48:48.500852,1557823728,127.0.0.1,63274,b'+|200|100',b'0|300.0',8
2019-05-14T03:48:48.534850,1557823728,127.0.0.1,63255,b'+|200|100',b'0|300.0',9
2019-05-14T03:48:48.555846,1557823728,127.0.0.1,63238,b'+|200|100',b'0|300.0',10
2019-05-14T03:48:48.561862,1557823728,127.0.0.1,63194,b'+|200|100',b'0|300.0',11
2019-05-14T03:48:48.581854,1557823728,127.0.0.1,63306,b'+|200|100',b'0|300.0',12
2019-05-14T03:48:48.614831,1557823728,127.0.0.1,63317,b'+|200|100',b'0|300.0',13
2019-05-14T03:48:48.662821,1557823728,127.0.0.1,63396,b'+|200|100',b'0|300.0',14
2019-05-14T03:48:48.724801,1557823728,127.0.0.1,63192,b'+|200|100',b'0|300.0',15
2019-05-14T03:48:48.837757,1557823728,127.0.0.1,63369,b'+|200|100',b'0|300.0',16
2019-05-14T03:48:48.843769,1557823728,127.0.0.1,63405,b'+|200|100',b'0|300.0',17
2019-05-14T03:48:48.865755,1557823728,127.0.0.1,63191,b'+|200|100',b'0|300.0',18
2019-05-14T03:48:48.924746,1557823728,127.0.0.1,63290,b'+|200|100',b'0|300.0',19
2019-05-14T03:48:48.963738,1557823728,127.0.0.1,63237,b'+|200|100',b'0|300.0',20
2019-05-14T03:48:48.969722,1557823728,127.0.0.1,63391,b'+|200|100',b'0|300.0',21
2019-05-14T03:48:48.991740,1557823728,127.0.0.1,63382,b'+|200|100',b'0|300.0',22
