2019-04-22T13:31:23.900175,127.0.0.1,46114,b'+|100|100',b'0|200.0'
2019-04-22T13:31:25.091289,127.0.0.1,46116,b'+|100|100',b'0|200.0'
2019-04-22T13:35:54.716275,192.168.9.186,44446,b'',b'1|Invalid operation'
2019-04-22T13:36:08.817399,192.168.9.186,44454,b'',b'1|Invalid operation'
2019-04-22T13:38:05.270420,192.168.9.186,44472,b'',b'1|Invalid operation'
2019-04-22T13:38:25.846472,192.168.9.186,44480,b'',b'1|Invalid operation'
2019-04-22T13:39:04.054258,192.168.9.186,44488,b'',b'1|Invalid operation'
2019-04-22T13:39:18.121236,192.168.9.186,44494,b'',b'1|Invalid operation'
2019-04-22T13:39:32.473290,192.168.9.186,44498,b'',b'1|Invalid operation'
2019-04-22T13:39:42.280023,192.168.9.186,44504,b'',b'1|Invalid operation'
2019-04-22T13:40:12.624364,192.168.9.186,44510,b'',b'1|Invalid operation'
2019-04-22T13:40:40.424808,192.168.9.186,44522,b'',b'1|Invalid operation'
2019-04-22T13:46:59.005418,192.168.9.186,44592,b'',b'1|Invalid operation'
2019-04-22T13:51:26.728143,192.168.9.186,44678,b'',b'1|Invalid operation'
2019-04-22T13:51:43.704592,192.168.9.186,44688,b'+|-616|402',b'0|-214.0'
2019-04-22T13:52:54.054674,192.168.9.186,44704,b'+|-362|-555',b'0|-917.0'
2019-05-03T12:59:19.443023,192.168.8.98,59172,b'+|180149|102481',b'0|282630.0'
2019-05-03T13:55:03.366278,192.168.9.186,48594,b'+|-646|-874',b'0|-1520.0'
